signal_date,cmm_vs_same_window_mom_rank_corr,cmm_vs_same_window_mom_pearson_corr
2019-01-31,0.4932844873649156,0.42839422811610034
2019-02-28,0.5116197744600104,0.432211012709247
2019-03-29,0.43785049363900447,0.3520375883643362
2019-04-30,0.3938862922749534,0.2526621309872175
2019-05-31,0.39558916890797324,0.1848915842487063
2019-06-28,0.3562300208257529,0.18198590260251488
2019-07-31,0.3999075970708747,0.22317558703751997
2019-08-30,0.3243763305642605,0.19024645269605953
2019-09-30,0.3244656674539944,0.15039104237057285
2019-10-31,0.3232619029122134,0.15248524921250967
2019-11-29,0.3346187654361605,0.14383870755660427
2019-12-31,0.30605513628465036,0.16378101797118688
2020-01-23,0.2838785926950079,0.10102530179280428
2020-02-28,0.2696638011849261,0.09500353816686329
2020-03-31,0.33580792726435693,0.1369745544503877
2020-04-30,0.2859005483792207,0.06435649094358585
2020-05-29,0.2826300102711506,0.09564959377935409
2020-06-30,0.23758637704283148,0.0085604193004121
2020-07-31,0.32494375577257123,0.1127783692648972
2020-08-31,0.2971831867034989,0.15915880181443326
2020-09-30,0.29077799072109467,0.09475390399949432
2020-10-30,0.17323679284633722,-0.005467016128929835
2020-11-30,0.31951698040225945,0.145519097539873
2020-12-31,0.26972454582005967,0.0853373703882161
2021-01-29,0.27262395330457656,0.13327427161025723
2021-02-26,0.3599265927123526,0.23088667573058586
2021-03-31,0.3654394263267069,0.2280602344752438
2021-04-30,0.39803147972489616,0.2316765262501878
2021-05-31,0.3762025348932028,0.1971403244365758
2021-06-30,0.3505773273061484,0.1715292419634462
2021-07-30,0.3366620431978973,0.1040165710881024
2021-08-31,0.3177043820702485,0.0754537360198142
2021-09-30,0.36418917800750517,0.08690507330127882
2021-10-29,0.3504992518357565,0.12332881790830119
2021-11-30,0.19028271718832082,-0.017825352993620078
2021-12-31,0.2657438511432632,0.0926095844651251
2022-01-28,0.3211967607230922,0.14568516900785455
2022-02-28,0.2550690525113791,0.03873308645149828
2022-03-31,0.2762795200893888,0.04039310647098384
2022-04-29,0.3139250667820884,0.06844306887460168
2022-05-31,0.2836979331988268,0.18865607865195552
2022-06-30,0.32355155424506454,0.21638302663361214
2022-07-29,0.2178119624000578,0.11135533941029026
2022-08-31,0.2737435038336269,0.10295370702181314
2022-09-30,0.2765526522398888,0.10512292832164348
2022-10-31,0.3088606978442318,0.20336469852635214
2022-11-30,0.30250181597686143,0.09676567417707951
2022-12-30,0.3235110275167382,0.09188123952467861
2023-01-31,0.2643301080882236,0.06112589294518636
2023-02-28,0.2598437634279458,0.06134033566388715
2023-03-31,0.34712952983887196,0.1742990930395945
2023-04-28,0.28151372194466895,0.11494533304971404
2023-05-31,0.2876215364606825,0.01794549647908239
2023-06-30,0.33275688460514996,0.06995100681224252
2023-07-31,0.5164312790570273,0.26765713315132245
2023-08-31,0.3921253409491451,0.06441071199900063
2023-09-28,0.3780824998931803,0.061518257399410525
2023-10-31,0.3767985415365792,0.09888256553232143
2023-11-30,0.35160269451061715,0.03352867042728905
2023-12-29,0.361015846595809,0.010390046380302907
2024-01-31,0.469303378873127,0.07083872273038846
2024-02-29,0.4282314414117484,0.013509579297947228
2024-03-29,0.3033161886483606,-0.009629186734434941
2024-04-30,0.3738336018851196,0.08437385314591564
2024-05-31,0.3184351443983506,0.04699184541273121
2024-06-28,0.37043720030084715,0.12076404834732123
2024-07-31,0.3507652536512988,0.10927473804394951
2024-08-30,0.3276446525473627,0.08416355178309405
2024-09-30,0.3257680309518645,0.14206290737679286
2024-10-31,0.2938163590418115,0.0535147513355551
2024-11-29,0.1634277127094568,-0.032248273909298485
2024-12-31,0.04606956642922871,-0.14929191609424097
2025-01-27,-0.17376515405224238,-0.26615188377715915
2025-02-28,-0.07034712286975486,-0.20363106036969786
2025-03-31,-0.0001325003065804047,-0.1354292749319111
2025-04-30,-0.026492982472210668,-0.19058744172727762
2025-05-30,-0.023214312278406105,-0.14825471465793033
2025-06-30,0.07510900957683214,-0.09189419006680433
2025-07-31,0.11847663531520448,-0.05507319267634323
2025-08-29,0.03452049183100641,-0.12867997276092968
2025-09-30,0.023275270729402112,-0.1306149615962785
2025-10-31,0.019466173024631075,-0.1523152127116918
2025-11-28,0.1094717138740732,-0.06797358816583023
2025-12-31,0.05491520429212927,-0.1382438986886584
2026-01-30,0.10197153538981928,-0.04998732734834831
2026-02-27,0.08029756310001525,-0.07792819319364612
2026-03-31,0.07233049973299621,-0.14523216230972305
2026-04-30,0.10043975419216798,-0.10474526919083345
