signal_date,cmm_vs_first_order_corr,cmm_vs_equal_mean_corr,first_order_rank_ic,z_hat_x_var_rank_ic
2019-01-31,0.9988120986101214,0.428394235219582,-0.31765580314970016,-0.1380029468362439
2019-02-28,0.9981112543641639,0.4322109976026936,0.08708391917914925,0.09828262670319463
2019-03-29,0.9990061807008448,0.3520375901148632,0.21337152884160407,0.18798289465691878
2019-04-30,0.9989985628978054,0.25266212912311226,0.18826372899598273,0.20554207316885834
2019-05-31,0.9991135852819588,0.18489158754958973,0.12430564444560277,0.08608174086780787
2019-06-28,0.9986234712701191,0.18198589203656776,0.21858897848697278,0.209371810351391
2019-07-31,0.9994846257679113,0.22317558509561264,-0.09405220930107056,-0.11225202480255093
2019-08-30,0.9993216298609967,0.190246439012098,0.1746989285425607,0.1799779112216246
2019-09-30,0.9977024283450519,0.15039103591672712,0.11804195239710977,0.10671623338534977
2019-10-31,0.9993576992838735,0.15248524546428605,0.03364390958586881,0.07184717593031273
2019-11-29,0.9993296913870237,0.1438387016434942,0.0004252108890054323,-0.014306136426807737
2019-12-31,0.999388594940974,0.1637810138251624,0.0642177718589601,-0.037281273228626004
2020-01-23,0.9993801251871098,0.10102529239515216,-0.0662987395407402,-0.11731814002195101
2020-02-28,0.999494155177152,0.09500352767654123,0.2651590102582833,0.37011238568714
2020-03-31,0.9985942918185728,0.13697454839586232,0.11527721410439522,-0.08792475220763851
2020-04-30,0.9989890443861467,0.06435649635377781,0.14554788694184953,0.12382504536326387
2020-05-29,0.998767120019193,0.09564959084014053,0.11326887201979297,-0.010509860563406982
2020-06-30,0.9983214336049824,0.008560402899831118,0.11228405384915909,0.12129666602985273
2020-07-31,0.9133910798856757,0.11277836214560867,0.1671359865177726,0.23164802952879263
2020-08-31,0.9988783671750976,0.15915878562333657,0.014282951511307514,0.08572316408833475
2020-09-30,0.993510771534931,0.09475389355432313,0.08136194221567881,0.0943598665985499
2020-10-30,0.9928121485685744,-0.005467018803128916,0.06368187386641909,0.19626681547325367
2020-11-30,0.978472275971243,0.14551909871183294,-0.032673747002275155,-0.16045888031250552
2020-12-31,0.9968317999325488,0.08533736202546895,0.1478308507179821,0.0416865489991746
2021-01-29,0.9846269716526335,0.13327425744562854,0.04938231900753392,0.18130786856036324
2021-02-26,0.9747492607310657,0.23088666601814653,0.19655081121633533,0.2427603753614985
2021-03-31,0.994426892500119,0.22806024663238547,0.1297735724953607,0.060817357308208794
2021-04-30,0.9787172761703877,0.23167652592542168,-0.17978937520543276,-0.113458278574113
2021-05-31,0.9951516988992777,0.1971403180065124,0.030786407321506865,0.046813399523749584
2021-06-30,0.9725275435231368,0.17152924763183722,-0.0548561536555196,-0.10077940290501523
2021-07-30,0.8975045886073554,0.10401656991054226,0.23916038652451543,0.21785906498441038
2021-08-31,0.8717534961560245,0.07545372913457166,0.0559161186969607,0.16356387215755397
2021-09-30,0.47832573253036303,0.0869050629083888,-0.008160558671055616,-0.10422032436805273
2021-10-29,0.942772511487785,0.12332880882556801,-0.016561926604256545,0.051123067370271384
2021-11-30,0.9615794595152157,-0.01782535802458968,0.16358441191567505,0.2893647869578757
2021-12-31,0.9801800660654938,0.09260958704523249,0.27267347373352796,0.3440579262671732
2022-01-28,0.9818830750291397,0.14568517144197504,0.0259455212753791,-0.05022127312002172
2022-02-28,0.870044261833967,0.0387331073102285,0.10065525414401899,0.11578515738544164
2022-03-31,0.9866344327473608,0.040393117118337055,0.1482616430417112,0.16733270796541608
2022-04-29,0.45457520332441964,0.06844307499408425,0.1514215743785757,0.0843685337197603
2022-05-31,0.8730857317635818,0.1886560658699252,-0.05463308391047941,-0.015834913783611407
2022-06-30,0.9591408200366363,0.21638302764812184,0.1276698628782028,0.11666287451492738
2022-07-29,0.4558488863805295,0.11135531286381528,0.29951044796033593,0.2992704161801584
2022-08-31,0.41651556100442977,0.10295368153366288,0.2115885067880289,0.15654376729249786
2022-09-30,0.8042133608698062,0.10512292917502805,0.05134812714044946,0.0976025570082215
2022-10-31,0.9938198077780488,0.20336471134818304,0.12035118594189943,0.12379584726536509
2022-11-30,0.5712194886847692,0.09676566855853996,0.0650099037217208,0.08344985976265391
2022-12-30,0.9908715683807455,0.09188124242454476,0.10063732047727926,0.22002507900768686
2023-01-31,0.6829511089523774,0.06112587285871141,0.22016089021895163,0.28356385769818904
