signal_date,n,intercept,cmm_signal_cs_z,same_window_mom_cs_z
2019-01-31,3378,3.3150123632320857e-09,-0.20702849051951253,-0.1685586802455904
2019-02-28,3385,8.007306910878171e-10,0.049497329730327715,0.0005155104672605631
2019-03-29,3376,-1.0366510145316305e-09,0.18548145676695446,-0.001314334982827293
2019-04-30,3352,-4.6922733396025816e-11,0.11061968271551563,0.014960889319686558
2019-05-31,3360,4.711614257896636e-09,0.1442078089415323,-0.020357213659075658
2019-06-28,3369,-4.995520196611037e-09,0.2096898972152064,-0.016486237185195575
2019-07-31,3379,1.7238471478192773e-10,-0.09548000773115171,0.07901288749727704
2019-08-30,3382,-4.381390172568319e-09,0.14430870489956807,-0.028683618626710938
2019-09-30,3394,-1.2202601139807895e-09,0.07015888063155966,0.04323979488386049
2019-10-31,3395,3.911287613538467e-10,0.07643278042790476,-0.03661430498716224
2019-11-29,3404,8.737759239727437e-11,-0.017382800827098803,-0.0032640716021545444
2019-12-31,3408,2.455835950844654e-11,-0.00726667065855651,0.1597669768244511
2020-01-23,3420,-1.2115898829343209e-09,-0.09217413454644585,0.10415313354656267
2020-02-28,3431,1.9757737917971088e-11,0.26348405335728,-0.165448508928905
2020-03-31,3436,-1.28800159370718e-10,0.0329527378728318,0.30192431223569577
2020-04-30,3383,6.317465567199185e-09,0.09010442005036229,0.0639347800494476
2020-05-29,3390,-1.1905151926864384e-09,0.053658733296679306,0.20051642057703747
2020-06-30,3388,1.2863980052391428e-09,0.0811747955467732,-0.0046570123541352
2020-07-31,3428,3.731016224656182e-10,0.16574720370880347,-0.15940767174669634
2020-08-31,3438,-3.230770707067943e-11,0.023422899974741614,-0.07233142113664941
2020-09-30,3442,1.94873011101813e-10,0.0431423688328982,0.004094699811515113
2020-10-30,3464,4.694929850255279e-09,0.12256059711126924,-0.20527789374496022
2020-11-30,3496,2.690488388557571e-10,-0.09128866731977767,0.23618431298592257
2020-12-31,3521,1.442461119232558e-10,0.09538657231992081,0.17839776477732647
2021-01-29,3539,1.958461346388225e-09,0.10130604244259658,-0.2610323801754872
2021-02-26,3557,-1.9239879845799975e-09,0.18843602761676617,-0.11277431899274107
2021-03-31,3575,1.0668392605564376e-10,0.03513584187871276,0.11002819515536671
2021-04-30,3561,4.6803071603394276e-11,-0.13883312446814208,-0.005308150408224358
2021-05-31,3614,1.4531141055029331e-10,-0.014749143716683647,0.04696413771614006
2021-06-30,3648,2.582710383639272e-11,-0.14568045649937333,0.15407883040761
2021-07-30,3698,-1.2317078315928589e-08,0.18827542457426732,0.023819695155903337
2021-08-31,3764,6.963785910510867e-10,0.09202520900847959,-0.148600702281591
2021-09-30,3822,1.4024858626459506e-12,-0.03752583134928226,0.20624294336137308
2021-10-29,3852,1.1345981163611472e-09,0.03904952208123936,-0.11067754482445925
2021-11-30,3873,-2.4651835898488853e-09,0.18182826534420593,-0.2792092534790698
2021-12-31,3931,-7.155368463002345e-09,0.2665932857076538,-0.13424533869046995
2022-01-28,3960,-1.4066602080201053e-10,-0.07466973617231609,0.14911486789686443
2022-02-28,3992,3.037427555444696e-10,0.08977461421027591,-0.019078549304905164
2022-03-31,4031,2.0736415248549894e-09,0.1788634903504601,-0.09225276888148955
2022-04-29,4069,1.944369909676299e-11,0.036938185986772586,0.08815549464297463
2022-05-31,4120,2.0015342383973327e-09,-0.03948227139007057,-0.019803884844992226
2022-06-30,4173,2.6832696043051064e-10,0.048505718731029726,0.06088376027002755
2022-07-29,4215,4.204593481178867e-10,0.075693124431616,-0.03773263581343533
2022-08-31,4264,8.63051466856887e-11,0.02228417473839956,0.07103184371489259
2022-09-30,4304,-6.346512180621182e-10,0.02760946319161153,-0.08911932425168419
2022-10-31,4335,4.830598760670458e-09,0.12384412340634988,-0.027487861904890658
2022-11-30,4378,-1.4288882812709859e-11,0.006757539201785397,-0.014699180394044954
2022-12-30,4418,5.979126565797835e-09,0.20776822183751883,-0.21662068638952528
2023-01-31,4444,-1.0137819048157254e-09,0.12491061446755286,-0.1306653956792166
2023-02-28,4467,1.1766979069627693e-09,-0.03076447294931082,-0.16495829545346802
2023-03-31,4504,-3.3433632622577957e-09,0.14446421882724667,0.0310179153890509
2023-04-28,4508,4.149015311627567e-11,0.07377910699238434,0.19187518080452473
2023-05-31,4511,-1.825301271327126e-09,0.05978409169360424,-0.03122003906336373
2023-06-30,4552,9.164378689047073e-09,0.2449433564203709,-0.3735364100483069
2023-07-31,4574,8.423174572412976e-10,0.14348032767265018,0.16372732071331297
2023-08-31,4621,8.819384971349734e-10,0.0533658599969798,-0.059005360922482535
2023-09-28,4657,-2.0612946353676641e-10,0.09539023249209291,-0.1263289546658113
2023-10-31,4688,1.6087061844537917e-09,-0.07443118983582817,0.1711076364221652
2023-11-30,4715,1.6145004791005881e-09,0.15279896826943387,-0.038421901798041315
