signal_date,factor,pearson_ic,spearman_rank_ic,n
2019-01-31,cmm_signal_cs_z,-0.27923740068535996,-0.31746017181601116,3378
2019-02-28,cmm_signal_cs_z,0.04971998389307473,0.08703638786512914,3385
2019-03-29,cmm_signal_cs_z,0.18501815220741596,0.21321651857654836,3376
2019-04-30,cmm_signal_cs_z,0.11439938330857305,0.1880883463019882,3352
2019-05-31,cmm_signal_cs_z,0.14044351853922252,0.12418171020670045,3360
2019-06-28,cmm_signal_cs_z,0.2066891200542901,0.21867618468418604,3369
2019-07-31,cmm_signal_cs_z,-0.07784599131854496,-0.09398300998069846,3379
2019-08-30,cmm_signal_cs_z,0.13885134189419,0.1747302106112626,3382
2019-09-30,cmm_signal_cs_z,0.07666155346068314,0.11780932133315664,3394
2019-10-31,cmm_signal_cs_z,0.07084938599837148,0.03354151544282968,3395
2019-11-29,cmm_signal_cs_z,-0.0178522438081909,0.0002637420503587389,3404
2019-12-31,cmm_signal_cs_z,0.018900152281762676,0.06472530337278008,3408
2020-01-23,cmm_signal_cs_z,-0.08165169990048637,-0.06617939241666242,3420
2020-02-28,cmm_signal_cs_z,0.24776492040873904,0.2643257184658101,3431
2020-03-31,cmm_signal_cs_z,0.07430857506918338,0.11538699087045,3436
2020-04-30,cmm_signal_cs_z,0.09421873550136266,0.1454411296132452,3383
2020-05-29,cmm_signal_cs_z,0.07283787299932042,0.11359124972268336,3390
2020-06-30,cmm_signal_cs_z,0.08113464347419799,0.11186924554776051,3388
2020-07-31,cmm_signal_cs_z,0.1477688844886571,0.16370901459139137,3428
2020-08-31,cmm_signal_cs_z,0.01191064151125363,0.013592652124766309,3438
2020-09-30,cmm_signal_cs_z,0.04353023037064493,0.080687380992698,3442
2020-10-30,cmm_signal_cs_z,0.1236825235579247,0.06423534561542535,3464
2020-11-30,cmm_signal_cs_z,-0.05691904978193029,-0.032806728750442,3496
2020-12-31,cmm_signal_cs_z,0.11061027794734384,0.14758299494660534,3521
2021-01-29,cmm_signal_cs_z,0.06651682770065438,0.049319954946902944,3539
2021-02-26,cmm_signal_cs_z,0.1623973408869222,0.19632381055972142,3557
2021-03-31,cmm_signal_cs_z,0.06022879052024637,0.12960842254316446,3575
2021-04-30,cmm_signal_cs_z,-0.1400624639402426,-0.17953288369209133,3561
2021-05-31,cmm_signal_cs_z,-0.005490575717345967,0.03041913195379213,3614
2021-06-30,cmm_signal_cs_z,-0.11925105431219132,-0.0541754258795773,3648
2021-07-30,cmm_signal_cs_z,0.19075254619642937,0.23875757431976363,3698
2021-08-31,cmm_signal_cs_z,0.08081244534581918,0.052836488453162266,3764
2021-09-30,cmm_signal_cs_z,-0.019602241695808674,-0.005455033950608992,3822
2021-10-29,cmm_signal_cs_z,0.025399672647815917,-0.015502333255869551,3852
2021-11-30,cmm_signal_cs_z,0.1868047918871929,0.161655661842234,3873
2021-12-31,cmm_signal_cs_z,0.25416018102560856,0.2712279387304761,3931
2022-01-28,cmm_signal_cs_z,-0.052945693214780515,0.025971446758596563,3960
2022-02-28,cmm_signal_cs_z,0.08903540770544029,0.10070356829632442,3992
2022-03-31,cmm_signal_cs_z,0.1751366507187364,0.146850206610692,4031
2022-04-29,cmm_signal_cs_z,0.0429717872918786,0.1523247506144233,4069
2022-05-31,cmm_signal_cs_z,-0.04321831064905134,-0.05387611606162371,4120
2022-06-30,cmm_signal_cs_z,0.0616798115683834,0.12835093732275885,4173
2022-07-29,cmm_signal_cs_z,0.07149136550266597,0.29860729968526806,4215
2022-08-31,cmm_signal_cs_z,0.029597156016520475,0.21092698797416465,4264
2022-09-30,cmm_signal_cs_z,0.01824092024789493,0.05128389614887533,4304
2022-10-31,cmm_signal_cs_z,0.11825372649901995,0.11955736117143663,4335
2022-11-30,cmm_signal_cs_z,0.005335155090429648,0.06543408943622059,4378
2022-12-30,cmm_signal_cs_z,0.1878643810378883,0.10120801450583065,4418
2023-01-31,cmm_signal_cs_z,0.11692340010878409,0.2192333557156728,4444
2023-02-28,cmm_signal_cs_z,-0.04088299337043783,-0.006991766085325383,4467
2023-03-31,cmm_signal_cs_z,0.14987019671200505,0.19309319268290764,4504
2023-04-28,cmm_signal_cs_z,0.09583401033106437,0.18785890775309405,4508
2023-05-31,cmm_signal_cs_z,0.05922365685908301,0.0712026820020052,4511
2023-06-30,cmm_signal_cs_z,0.21881347039292168,0.12871582727631778,4552
2023-07-31,cmm_signal_cs_z,0.18730264593069582,0.26463082097085777,4574
2023-08-31,cmm_signal_cs_z,0.04956514121408384,0.0874440032750234,4621
2023-09-28,cmm_signal_cs_z,0.08761844390949039,0.04958750273290253,4657
2023-10-31,cmm_signal_cs_z,-0.057511429273399604,0.05473057862506956,4688
2023-11-30,cmm_signal_cs_z,0.15151035508167843,0.24918324896585456,4715
2023-12-29,cmm_signal_cs_z,0.11502344438727916,0.09344114117721145,4737
2024-01-31,cmm_signal_cs_z,-0.2420538298473451,-0.2765551234810879,4747
2024-02-29,cmm_signal_cs_z,0.15261450747178418,0.29349231666928555,4762
2024-03-29,cmm_signal_cs_z,0.22819972563327248,0.26157785786026155,4785
2024-04-30,cmm_signal_cs_z,0.09084986287281285,0.082634489342152,4746
2024-05-31,cmm_signal_cs_z,0.08491869596101093,0.14442354869195248,4768
2024-06-28,cmm_signal_cs_z,-0.01879847508048106,-0.07205782411978437,4818
2024-07-31,cmm_signal_cs_z,0.1950884633713164,0.2132615489473905,4850
2024-08-30,cmm_signal_cs_z,-0.24283174535763102,-0.34305342525906996,4874
2024-09-30,cmm_signal_cs_z,-0.09028579404455567,0.033081192059447255,4883
2024-10-31,cmm_signal_cs_z,0.0718333321619826,0.017143799857302255,4886
2024-11-29,cmm_signal_cs_z,0.12399427404687326,0.21472359056325455,4899
2024-12-31,cmm_signal_cs_z,0.0637813732296122,0.057576362577264964,4906
2025-01-27,cmm_signal_cs_z,-0.02675702446770252,-0.043236796531372704,4913
2025-02-28,cmm_signal_cs_z,0.2527922389347257,0.25431000551945016,4919
2025-03-31,cmm_signal_cs_z,0.10318144265580849,0.14403369213657707,4914
2025-04-30,cmm_signal_cs_z,0.15206148234708236,0.23419574392677053,4842
2025-05-30,cmm_signal_cs_z,0.07567363291506167,0.19200447735387247,4855
2025-06-30,cmm_signal_cs_z,0.08846647251250239,0.16294434008840888,4883
2025-07-31,cmm_signal_cs_z,-0.14999648420149417,-0.1304759184900865,4880
2025-08-29,cmm_signal_cs_z,0.003808642151890674,-0.019455002126186404,4886
2025-09-30,cmm_signal_cs_z,0.1188598271116792,0.23395879438236053,4888
2025-10-31,cmm_signal_cs_z,0.009422771712881306,0.1008762812360892,4895
2025-11-28,cmm_signal_cs_z,-0.049604929508187165,-0.004139365484153206,4893
2025-12-31,cmm_signal_cs_z,0.03256599879290383,0.1648219544896866,4906
2026-01-30,cmm_signal_cs_z,-0.026075224339669682,-0.00992259124457601,4915
2026-02-27,cmm_signal_cs_z,0.09594140470002659,0.18223983984517056,4918
