,mean,std,min,max
cmm_vs_first_order_corr,0.9394138183796464,0.1261763016473603,0.41651556100442977,0.999494155177152
cmm_vs_equal_mean_corr,0.07386500208201713,0.13185281994915068,-0.26615190370393627,0.4322109976026936
first_order_rank_ic,0.089482276994643,0.12827488595762587,-0.3438470352381559,0.29951044796033593
z_hat_x_var_rank_ic,0.09493690902988172,0.1357745418827733,-0.3359256735661189,0.37011238568714
