feature,mean_rank_corr_with_z_hat,abs_mean_rank_corr,t_stat,positive_rate
z_amount,-0.6735750579499248,0.6735750579499248,-133.9780237983879,0.0
z_volume,-0.5134637192363415,0.5134637192363415,-101.8811077905825,0.0
z_nmv,-0.403336924479143,0.403336924479143,-42.808516582973375,0.0
z_tmv,-0.4026299764343763,0.4026299764343763,-41.34480431063271,0.0
z_total_shareholder_equity,-0.20156157429548074,0.20156157429548074,-23.231962149626153,0.0
z_total_assets,-0.18920995886620628,0.18920995886620628,-18.938262795304574,0.022727272727272728
z_total_current_assets,-0.1889472746870881,0.1889472746870881,-20.197967435397707,0.011363636363636364
z_total_non_current_assets,-0.18675752011815935,0.18675752011815935,-22.694116982268365,0.0
z_adjfactor,0.18628521309016124,0.18628521309016124,29.56589146599981,1.0
z_money,-0.16235890209618553,0.16235890209618553,-16.43604645477026,0.056818181818181816
z_gross_profit_ttm,-0.15407974733480392,0.15407974733480392,-15.434866155200162,0.056818181818181816
z_listing_days,-0.14963768398087723,0.14963768398087723,-16.64965467527698,0.045454545454545456
z_gross_profit,-0.14807869907342808,0.14807869907342808,-14.959629932155527,0.045454545454545456
z_total_current_liability,-0.14697143849341518,0.14697143849341518,-15.905481125008173,0.056818181818181816
z_account_receivable,-0.14526509840485857,0.14526509840485857,-23.75604276442381,0.011363636363636364
z_operating_revenue_ttm,-0.14215481328064505,0.14215481328064505,-14.456392138750198,0.056818181818181816
z_total_liability,-0.13978936152835486,0.13978936152835486,-13.886245635191639,0.056818181818181816
z_net_asset_gr,-0.13871923806485184,0.13871923806485184,-25.715879477991038,0.0
z_ebitda_ttm,-0.1375347517491283,0.1375347517491283,-15.237106063130982,0.045454545454545456
z_operating_revenue,-0.13521233910680405,0.13521233910680405,-13.902254206557048,0.056818181818181816
z_current_liability_gr,0.1340028844732126,0.1340028844732126,29.70220285626999,1.0
z_accounts_payable,-0.12996820835495881,0.12996820835495881,-14.547732074466516,0.09090909090909091
z_total_non_current_liability,-0.12866877575562558,0.12866877575562558,-15.4985983921174,0.022727272727272728
z_inventories,-0.1281436801876812,0.1281436801876812,-16.41859385601452,0.045454545454545456
z_gross_profit_q,-0.12596860450994304,0.12596860450994304,-12.267886015258044,0.06818181818181818
z_intangible_assets,-0.12369831194073572,0.12369831194073572,-18.205126277295637,0.0
z_operating_revenue_q,-0.12049601380861538,0.12049601380861538,-12.213618573338051,0.06818181818181818
z_operating_cost_ttm,-0.1198432480029012,0.1198432480029012,-13.029000435892328,0.07954545454545454
z_fixed_assets,-0.11892386453193061,0.11892386453193061,-17.017616934619078,0.0
z_ebitda,-0.11766996466563077,0.11766996466563077,-11.537228723656808,0.125
z_ebit_ttm,-0.11584543622107563,0.11584543622107563,-12.878097508758112,0.09090909090909091
z_operating_cost,-0.1140676690323741,0.1140676690323741,-12.597885697043667,0.09090909090909091
z_ebit,-0.11156376973735602,0.11156376973735602,-11.058782260064543,0.125
