,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
z_hat,367699.0,0.15249064564704895,2.67342209815979,-20.901147842407227,-7.234757738113403,-4.313279485702514,-1.193623125553131,0.10262031853199005,1.590384840965271,4.712301826477045,6.671958255767823,13.569743156433105
max_weight,367699.0,0.005444835871458054,0.0017993185902014375,0.0043290043249726295,0.004337435560300946,0.004371515894308686,0.0045758013147860765,0.004965653643012047,0.005744752008467913,0.007932713720947504,0.011392596811056139,0.4656673073768616
positive_weight_share,367699.0,0.4775111973285675,0.04438435658812523,0.0,0.3631597137451172,0.40570074915885923,0.45040468871593475,0.47831952571868896,0.5059196650981903,0.5484431028366088,0.5788952291011811,0.6671432852745056
negative_weight_share,367699.0,0.49152281880378723,0.045369938015937805,0.0,0.3854701662063599,0.4183935195207596,0.46226727962493896,0.4919472634792328,0.5212091207504272,0.5645030319690704,0.5976836979389191,0.773965060710907
effective_weighted_days,367699.0,229.50274658203125,3.666116952896118,4.5832695960998535,214.7045718383789,224.42805023193358,229.57371520996094,230.66860961914062,230.94554138183594,230.998291015625,230.9999237060547,231.0010223388672
weighting_gain_vs_equal_mean,367699.0,-0.0002073873474728316,0.002957987831905484,-0.4954800307750702,-0.010074348486959935,-0.005090768076479435,-0.0009843159350566566,6.07261317782104e-05,0.0010452698916196823,0.003464507008902728,0.006204695282503971,0.16301365196704865
