signal_date,cmm_neutral_vs_same_window_mom_rank_corr,cmm_neutral_vs_same_window_mom_pearson_corr
2019-01-31,0.14739977058848805,0.14802070441790835
2019-02-28,0.20988495631803886,0.19310183375824289
2019-03-29,0.10699328496537382,0.06078818635182671
2019-04-30,-0.08441397904819882,-0.13571471452376205
2019-05-31,-0.09870545762646538,-0.1773243418266854
2019-06-28,-0.12267023576810361,-0.18496502381548835
2019-07-31,-0.05523146341680611,-0.12815451604990954
2019-08-30,-0.09758564520860136,-0.15567087102190919
2019-09-30,-0.11077120862474284,-0.20292604605504014
2019-10-31,-0.0718325234869129,-0.15012184469170378
2019-11-29,-0.1202349928005485,-0.18782093696712374
2019-12-31,-0.12836181364659457,-0.16626468107949266
2020-01-23,-0.1601163514799156,-0.22495369883684352
2020-02-28,-0.1251650671493164,-0.19071353504661354
2020-03-31,-0.11015184688933397,-0.17576525401600723
2020-04-30,-0.1330196935324076,-0.20311333854065491
2020-05-29,-0.1402643530880135,-0.22299543331817082
2020-06-30,-0.16203764076631186,-0.26847477596561903
2020-07-31,-0.1297612887095416,-0.2371340460495238
2020-08-31,-0.15387883377092765,-0.19306348759287034
2020-09-30,-0.15768279188028186,-0.22460147295309382
2020-10-30,-0.2416618829704975,-0.3008810417390287
2020-11-30,-0.2602972917223682,-0.334122375346489
2020-12-31,-0.23136959262808512,-0.30980430150928107
2021-01-29,0.3439050555435262,0.1204785798596389
2021-02-26,0.3983158063128157,0.21894022658546847
2021-03-31,0.43434787582780354,0.27374691420894115
2021-04-30,0.4590410828885561,0.2742731520622428
2021-05-31,0.4404041829711562,0.22087937227516313
2021-06-30,0.3961245466519525,0.17352265664457206
2021-07-30,0.42988374230359133,0.1928250920435242
2021-08-31,0.4189162333052061,0.12605853477771445
2021-09-30,0.4720191666507226,0.2331490250799422
2021-10-29,0.4381413495044927,0.18784526610818914
2021-11-30,0.35939673113395165,0.06322910201168268
2021-12-31,0.3798492166429662,0.14114864142167513
2022-01-28,0.4505243509253977,0.2994577922954904
2022-02-28,0.43397082473454973,0.22048054618346624
2022-03-31,0.36431552999847305,0.09326848834325534
2022-04-29,0.39033202554365154,0.13408355903162023
2022-05-31,0.3877436256594702,0.2614072268731137
2022-06-30,0.37324283391762453,0.14702024887174145
2022-07-29,0.34838194068303646,0.21301089178698196
2022-08-31,0.38477708896140067,0.24017534891451364
2022-09-30,0.4369543230673007,0.2757948860895579
2022-10-31,0.4116053977016235,0.23556946738077858
2022-11-30,0.42822928951754285,0.2224775616814832
2022-12-30,0.3951086046579455,0.11833947873133577
2023-01-31,0.02167943357043388,-0.09184225572098281
2023-02-28,0.009612070438677402,-0.08145271856671772
2023-03-31,0.11729737517423168,0.04352385271108243
2023-04-28,0.08321861898303477,0.028466979256731483
2023-05-31,0.1482760013690489,0.02520705318286807
2023-06-30,0.2375360054534256,0.10689338820900525
2023-07-31,0.38523024038520487,0.31403632668500353
2023-08-31,0.29980706891191466,0.20064762167529807
2023-09-28,0.287536057810629,0.15604493765934413
2023-10-31,0.31362575013277727,0.2231880954252289
2023-11-30,0.27826206441100776,0.15559631483274794
2023-12-29,0.3310549284935495,0.16576072112889592
2024-01-31,0.4085715856218829,0.2727171423522443
2024-02-29,0.38335244749975117,0.2703703132904175
2024-03-29,0.08605278043563497,0.0058621381735244815
2024-04-30,0.09877265741802914,-0.02255978551271059
2024-05-31,0.0730713677267768,-0.015039491098749852
2024-06-28,0.08153850620188187,-0.028143076733831863
2024-07-31,0.055269505008318204,-0.016408448104169446
2024-08-30,0.07086444268751271,-0.0025678888896406168
2024-09-30,0.07538355511370602,0.01428243453661746
2024-10-31,-0.007794078948926306,-0.11069498180090473
2024-11-29,-0.15544774512059717,-0.225996405588674
2024-12-31,-0.2229758463875345,-0.27052792944776083
2025-01-27,-0.3254144631533014,-0.37895135856621176
2025-02-28,-0.12980543667348157,-0.2461013436113923
2025-03-31,-0.10485539637118985,-0.2401069275367765
2025-04-30,-0.11016235675062715,-0.23967609396604944
2025-05-30,-0.12561855088060261,-0.22707291725082435
2025-06-30,-0.058220782836615616,-0.20607929513988546
2025-07-31,-0.024633231727426482,-0.18051411569491987
2025-08-29,-0.04779836648781587,-0.18739648886700547
2025-09-30,-0.04102511793995855,-0.11990920001453273
2025-10-31,0.04696118068897519,-0.12467165642746579
2025-11-28,0.14013092178851952,-0.03730583858826107
2025-12-31,0.13341886294897043,-0.06834284525991641
2026-01-30,0.1429725345897624,-0.021894926713927267
2026-02-27,0.13675164170678555,-0.01926241494686223
2026-03-31,0.16900097300817235,-0.04063018504035637
2026-04-30,0.19993206116077084,0.04122642971219987
