lag,avg_weight_low_z_hat,avg_weight_high_z_hat
252,0.004354248,0.004295984
251,0.004304074,0.004344843
250,0.00424959,0.0043999
249,0.0043674097,0.0042852033
248,0.0043376875,0.0043178867
247,0.004423026,0.0042332453
246,0.004329556,0.004320972
245,0.004343063,0.0042958898
244,0.0043304893,0.0043470315
243,0.0042737275,0.0043892516
242,0.00434814,0.004329187
241,0.004246953,0.004418641
240,0.004317407,0.0043222345
239,0.004345352,0.004325448
238,0.0044539236,0.0042221774
237,0.0043327594,0.0043256944
236,0.0043682,0.0043058
235,0.004316066,0.0043251463
234,0.0042844033,0.004350528
233,0.0043105404,0.004317939
232,0.004340912,0.004349034
231,0.0043731066,0.004303733
230,0.0042926967,0.0043754512
229,0.0043745697,0.0043209153
228,0.004345949,0.0043211635
227,0.0043962705,0.0042450856
226,0.00441477,0.0042855637
225,0.0043500946,0.004300015
224,0.0043250844,0.004341394
223,0.0042794314,0.0043751397
222,0.0043087606,0.004384609
221,0.0042234906,0.0044322102
220,0.0043094866,0.0043249708
219,0.0043180254,0.0043456866
218,0.0043926756,0.004282794
217,0.004363805,0.0043019205
216,0.004397342,0.004300163
215,0.0043338276,0.004318012
214,0.004341458,0.004361598
213,0.004298677,0.004373973
212,0.004311189,0.0043379124
211,0.004347858,0.0043364973
210,0.0043414785,0.004316686
209,0.004340561,0.0043444075
208,0.004342869,0.004312178
207,0.004388156,0.0042858054
206,0.004375403,0.0042729066
205,0.0042937566,0.004349005
204,0.0043836543,0.004263603
203,0.0043348274,0.0043419087
202,0.0043694368,0.0043121697
201,0.004261151,0.004430448
200,0.0043555065,0.0043388223
199,0.004338715,0.004315482
198,0.004303805,0.004358912
197,0.0043697082,0.0043052523
196,0.0043140333,0.0043482
195,0.0043786154,0.004300064
194,0.004310161,0.004336406
193,0.004344408,0.004298708
192,0.0043819947,0.004303327
191,0.0042825276,0.004405253
190,0.0042846804,0.0043613394
189,0.004367154,0.004287662
188,0.004345096,0.0043153777
187,0.004402052,0.0042646523
186,0.004358036,0.004322384
185,0.004292263,0.0043588555
184,0.004402495,0.0042344555
183,0.0042641293,0.00438622
182,0.0044048005,0.004303707
181,0.004259152,0.0044369968
180,0.004346453,0.004335305
179,0.0043444214,0.0043369564
178,0.0043340893,0.00434694
177,0.0043167854,0.0043380493
176,0.0043576523,0.004298332
175,0.004312932,0.0043491335
174,0.0044094785,0.004298734
173,0.0042747622,0.004407872
172,0.004330001,0.0043213638
171,0.0043695914,0.004313102
170,0.0043037185,0.00435858
169,0.004331089,0.0043247915
168,0.004355525,0.0042819167
167,0.0044168015,0.004232119
166,0.004365151,0.004299565
165,0.0043368707,0.004347624
164,0.004339347,0.0043410026
163,0.004297115,0.0043665054
162,0.0042468226,0.004397956
161,0.004272053,0.00436068
160,0.004278714,0.004376839
159,0.004421867,0.0042931302
158,0.004346007,0.0043176794
157,0.0043494995,0.0043503437
156,0.0043730116,0.0042892685
155,0.0043157623,0.0043600732
154,0.0043230047,0.0043317345
153,0.0043135583,0.004369472
152,0.004346078,0.0043344097
151,0.004278893,0.004392209
150,0.004364293,0.0042895167
149,0.00432179,0.004331937
148,0.0043562613,0.0043142163
147,0.004402278,0.0042766393
146,0.004308596,0.004352935
145,0.0043017287,0.0043174964
144,0.004368622,0.004293791
143,0.004365987,0.004315532
142,0.0043706913,0.0042950464
141,0.004259141,0.0043894215
140,0.0043350016,0.0043364777
139,0.0043224543,0.0043827333
138,0.004299184,0.0043661445
137,0.0043300153,0.0043194676
136,0.004373125,0.004314813
135,0.00435605,0.004286039
134,0.0042986465,0.004402064
133,0.004326992,0.0043417607
132,0.0043005655,0.004344424
131,0.0042889784,0.0043716626
130,0.004307745,0.00435646
129,0.0043130796,0.004325173
128,0.004387394,0.004278414
127,0.004344395,0.0043178853
126,0.0043462953,0.004294622
125,0.004341664,0.004304757
124,0.0043623075,0.004307595
123,0.0043824115,0.0042755245
