signal_date,n,intercept,cmm_neutral,same_window_mom_cs_z
2019-01-31,3378,-1.642777925346941e-16,-0.18043329806297473,-0.23187983744307195
2019-02-28,3385,1.90823076464325e-18,0.018714516995205134,0.018490917062013817
2019-03-29,3376,7.643090502956908e-17,0.14328981279940878,0.05586421738534325
2019-04-30,3352,-1.9176008998852048e-17,0.1598934032351479,0.06354886726086309
2019-05-31,3360,2.6814433536895163e-17,0.16394902208093884,0.03373299087965761
2019-06-28,3369,-5.35571866669623e-17,0.23848642360005654,0.06276176932329994
2019-07-31,3379,-3.151374947179457e-17,-0.04001202191690096,0.052998577921790885
2019-08-30,3382,2.6727076938994684e-17,0.10665786488804205,0.013953709017129662
2019-09-30,3394,-2.85854853118146e-17,0.11892021334404794,0.07566556228590557
2019-10-31,3395,-4.382462176300918e-17,0.045646030797735916,-0.018754099247340315
2019-11-29,3404,1.3082422076381284e-18,0.038112005369860404,0.0008035969059641538
2019-12-31,3408,-2.6624929865230582e-17,0.02594585781887368,0.16255801946474008
2020-01-23,3420,-6.834388735511482e-17,-0.013395048385098529,0.09214517729260635
2020-02-28,3431,5.591417054359045e-17,0.23376242118579565,-0.10071458117539853
2020-03-31,3436,-1.0890592220052807e-17,-0.03282436837511829,0.3011401551281731
2020-04-30,3383,5.726384237898694e-17,0.07862017348920242,0.08462677546355518
2020-05-29,3390,-2.95557564308137e-17,0.07362727733696112,0.2211397064546007
2020-06-30,3388,-5.722157187615786e-18,0.04753234301243269,0.007816680961070351
2020-07-31,3428,1.7066023236718118e-17,0.20183267955663212,-0.09598048073282348
2020-08-31,3438,-4.1656231139039746e-17,0.049447099766986136,-0.05990557407741312
2020-09-30,3442,3.027783231726917e-17,0.08173340484540946,0.02523807552846348
2020-10-30,3464,2.0749802782483818e-17,0.1520528931289327,-0.16238713874851715
2020-11-30,3496,2.722654414874572e-17,0.02070616210544529,0.2294118793617553
2020-12-31,3521,1.1226088655958988e-16,0.10444860075414547,0.21672178155578165
2021-01-29,3539,-4.4790013175953556e-17,0.0388646023003061,-0.2519581151703229
2021-02-26,3557,2.3269031644580295e-18,0.15278434187121176,-0.10063595822604803
2021-03-31,3575,5.5704908020121556e-18,0.004534169659285742,0.11686633337749484
2021-04-30,3561,1.7674528956934027e-17,-0.11123382172468621,-0.008359925979069415
2021-05-31,3614,-1.3850881671259211e-17,0.05560534084036288,0.03241646741583137
2021-06-30,3648,4.779210538942582e-17,-0.03495410425123442,0.13486145957514567
2021-07-30,3698,1.0041288979954374e-17,0.09638613884133267,0.025939085048549596
2021-08-31,3764,1.0857670873034715e-17,0.07216019938485844,-0.15031126789224
2021-09-30,3822,1.6162457574363614e-17,-0.05946755715243232,0.2160755950531986
