signal_date,factor,pearson_ic,spearman_rank_ic,n
2019-01-31,cmm_neutral,-0.20570696254010012,-0.1821105203933015,3378
2019-02-28,cmm_neutral,0.02127018931502413,0.04468604263672321,3385
2019-03-29,cmm_neutral,0.13693627066518774,0.15817232089527491,3376
2019-04-30,cmm_neutral,0.14344935104383422,0.20331367032804062,3352
2019-05-31,cmm_neutral,0.14869234993351493,0.12095921104817543,3360
2019-06-28,cmm_neutral,0.2105278321737876,0.21305153205730631,3369
2019-07-31,cmm_neutral,-0.04350989226560124,-0.02476962420919758,3379
2019-08-30,cmm_neutral,0.09536170481342629,0.12215699199414959,3382
2019-09-30,cmm_neutral,0.09244106765847207,0.1251050609615436,3394
2019-10-31,cmm_neutral,0.04415097482792113,0.01031060268589846,3395
2019-11-29,cmm_neutral,0.03481843818544243,0.051732061007818346,3404
2019-12-31,cmm_neutral,-0.0030828166380487618,0.013891611321778203,3408
2020-01-23,cmm_neutral,-0.03271339865908398,-0.038436100686615106,3420
2020-02-28,cmm_neutral,0.22738425668322804,0.25635286835481236,3431
2020-03-31,cmm_neutral,-0.08307147639727282,-0.07945500634086892,3436
2020-04-30,cmm_neutral,0.056135804098182404,0.1261631572215557,3383
2020-05-29,cmm_neutral,0.020154047073978346,0.03606865300122897,3390
2020-06-30,cmm_neutral,0.041774461655839125,0.08356048118416201,3388
2020-07-31,cmm_neutral,0.2114069484086218,0.216591968662008,3428
2020-08-31,cmm_neutral,0.05661759065925057,0.07371280634908733,3438
2020-09-30,cmm_neutral,0.07026812529627756,0.09100140961936325,3442
2020-10-30,cmm_neutral,0.19363667466998719,0.1720549770154514,3464
2020-11-30,cmm_neutral,-0.05716246917966764,-0.032421947512476075,3496
2020-12-31,cmm_neutral,0.030287914924423703,0.017676584343529138,3521
2021-01-29,cmm_neutral,0.00639107668694032,-0.031927067364414245,3539
2021-02-26,cmm_neutral,0.12124269029275173,0.12121135886046364,3557
2021-03-31,cmm_neutral,0.036283812304916264,0.07776933897278833,3575
2021-04-30,cmm_neutral,-0.10843708681570743,-0.11798246472945587,3561
2021-05-31,cmm_neutral,0.059858702007906724,0.061730128685379575,3614
2021-06-30,cmm_neutral,-0.009856517120798387,0.027203203030244115,3648
