portfolio,component,annualized_mean,annualized_vol,sharpe_like,monthly_t_stat
CMM_equal_weight,realized_return,0.26059982015967215,0.1559326303875015,1.6712334006812217,4.525721443414868
CMM_equal_weight,intercept_contribution,-0.004026740217579215,0.006013230042388662,-0.669646793685554,-1.8134120898142578
CMM_equal_weight,style_contribution,0.1359645088759187,0.08862951863701182,1.5340770317479726,4.154300240530156
CMM_equal_weight,industry_contribution,0.005172537257739995,0.03806954711068511,0.13587073265413765,0.36793968338274646
CMM_equal_weight,specific_contribution,0.12348951424359264,0.06781084526606529,1.8210879654878853,4.931529523281315
CMM_equal_weight,explained_contribution,0.13711030591607948,0.10884637594162198,1.259668084765784,3.4111972992438186
CMM_value_weight,realized_return,0.07857979315400057,0.2719560103773007,0.28894302812054845,0.7824614190677147
CMM_value_weight,intercept_contribution,-0.0026780807864116483,0.005219214757615173,-0.5131194845937609,-1.3895341330022415
CMM_value_weight,style_contribution,0.09490243014934875,0.1586850514383105,0.5980552628565803,1.6195413078471708
CMM_value_weight,industry_contribution,-0.004263667490811048,0.08421368355954255,-0.050629153251519496,-0.13710439513651468
CMM_value_weight,specific_contribution,-0.00938088871812552,0.12335754283279186,-0.07604633249578492,-0.20593444190915738
CMM_value_weight,explained_contribution,0.08796068187212608,0.21259417221837604,0.41374926205302165,1.1204382982695118
