portfolio,industry,annualized_contribution,monthly_t_stat,abs_contribution
CMM_equal_weight,电子,-0.019969529871811623,-2.622671841978143,0.019969529871811623
CMM_equal_weight,机械设备,0.010598457913289791,2.8180437267292873,0.010598457913289791
CMM_equal_weight,化工,0.0054968647777249085,2.586316213890402,0.0054968647777249085
CMM_equal_weight,通信,-0.0038322793962505515,-1.702997795718976,0.0038322793962505515
CMM_equal_weight,汽车,0.002832422715846035,1.197309139973583,0.002832422715846035
CMM_equal_weight,银行,0.0017876718156029693,1.7913002891810559,0.0017876718156029693
CMM_equal_weight,传媒,-0.0015570087761449468,-0.42789776663004947,0.0015570087761449468
CMM_equal_weight,房地产,0.0015501181863460728,1.043371217146192,0.0015501181863460728
CMM_equal_weight,医药生物,0.0014921808589610417,0.48064117195276557,0.0014921808589610417
CMM_equal_weight,采掘,0.0014670505123842417,0.9988077249499133,0.0014670505123842417
CMM_equal_weight,建筑材料,0.0013943393894653934,2.7021014759558475,0.0013943393894653934
CMM_equal_weight,有色金属,-0.001131314715009462,-0.45146621734198167,0.001131314715009462
CMM_equal_weight,电气设备,-0.0010861574971182527,-0.36387810296819967,0.0010861574971182527
CMM_equal_weight,基础化工,0.0010858792177734368,0.6272671271702452,0.0010858792177734368
CMM_equal_weight,建筑装饰,0.0010148690846285562,1.2061260926516915,0.0010148690846285562
CMM_equal_weight,农林牧渔,0.0009176506850951376,1.0674480864242404,0.0009176506850951376
CMM_equal_weight,食品饮料,0.0008851840399098619,0.6615423413652157,0.0008851840399098619
CMM_equal_weight,商贸零售,0.0006569966339884305,1.007654665163057,0.0006569966339884305
CMM_equal_weight,非银金融,0.0006413027397663155,0.6493343658566598,0.0006413027397663155
CMM_equal_weight,计算机,0.0006060473768887086,0.12884215508408436,0.0006060473768887086
CMM_equal_weight,煤炭,0.0005168106725944556,0.4144152217349626,0.0005168106725944556
CMM_equal_weight,电力设备,-0.0005022210961957441,-0.13094977165436478,0.0005022210961957441
CMM_equal_weight,家用电器,0.0004942388142384385,0.6829795589348499,0.0004942388142384385
CMM_equal_weight,公用事业,0.00046126426087410505,0.36245608296780846,0.00046126426087410505
CMM_equal_weight,纺织服装,-0.00045208294437017475,-1.1548621167725455,0.00045208294437017475
CMM_equal_weight,纺织服饰,-0.0002539951231493086,-0.33631721455215174,0.0002539951231493086
