signal_date,portfolio,realized_return,direct_weighted_return,intercept_contribution,exposure_style_size,contrib_style_size,exposure_style_liquidity,contrib_style_liquidity,exposure_style_momentum,contrib_style_momentum,exposure_style_volatility,contrib_style_volatility,exposure_style_profitability,contrib_style_profitability,exposure_style_growth,contrib_style_growth,exposure_style_leverage,contrib_style_leverage,style_contribution,exposure_ind_休闲服务,contrib_ind_休闲服务,exposure_ind_传媒,contrib_ind_传媒,exposure_ind_公用事业,contrib_ind_公用事业,exposure_ind_农林牧渔,contrib_ind_农林牧渔,exposure_ind_化工,contrib_ind_化工,exposure_ind_医药生物,contrib_ind_医药生物,exposure_ind_商业贸易,contrib_ind_商业贸易,exposure_ind_国防军工,contrib_ind_国防军工,exposure_ind_家用电器,contrib_ind_家用电器,exposure_ind_建筑材料,contrib_ind_建筑材料,exposure_ind_建筑装饰,contrib_ind_建筑装饰,exposure_ind_房地产,contrib_ind_房地产,exposure_ind_有色金属,contrib_ind_有色金属,exposure_ind_机械设备,contrib_ind_机械设备,exposure_ind_汽车,contrib_ind_汽车,exposure_ind_电子,contrib_ind_电子,exposure_ind_电气设备,contrib_ind_电气设备,exposure_ind_纺织服装,contrib_ind_纺织服装,exposure_ind_综合,contrib_ind_综合,exposure_ind_计算机,contrib_ind_计算机,exposure_ind_轻工制造,contrib_ind_轻工制造,exposure_ind_通信,contrib_ind_通信,exposure_ind_采掘,contrib_ind_采掘,exposure_ind_钢铁,contrib_ind_钢铁,exposure_ind_银行,contrib_ind_银行,exposure_ind_非银金融,contrib_ind_非银金融,exposure_ind_食品饮料,contrib_ind_食品饮料,exposure_ind_商贸零售,contrib_ind_商贸零售,exposure_ind_基础化工,contrib_ind_基础化工,exposure_ind_煤炭,contrib_ind_煤炭,exposure_ind_环保,contrib_ind_环保,exposure_ind_电力设备,contrib_ind_电力设备,exposure_ind_石油石化,contrib_ind_石油石化,exposure_ind_社会服务,contrib_ind_社会服务,exposure_ind_纺织服饰,contrib_ind_纺织服饰,exposure_ind_美容护理,contrib_ind_美容护理,industry_contribution,specific_contribution,explained_contribution,reconstructed_return,reconstruction_error
2019-01-31,CMM_equal_weight,-0.10175272241170219,-0.10175272241170219,0.002604714613050067,-0.1543148808998221,0.0037890855250436264,-1.6295374474351512,-0.05086103586666785,1.686098358754555,-0.038585587486097125,-0.6257224251361191,-0.00958400406573207,0.49408103970815453,-0.00505847335316856,0.32877425346219596,0.00020811982444866547,-0.14835502769349293,1.90540401232882e-05,-0.10007284138205001,0.0029585798816568055,1.4322565431843068e-05,-0.07692307692307693,-0.001998553713643596,0.020710059171597628,0.0004029941133683745,0.014792899408284021,0.0010595820523976545,0.047337278106508875,0.0003051310612707934,0.023668639053254434,0.0006795629422547439,-0.005917159763313609,2.5770782193006738e-05,0.0029585798816568055,0.0001928142784384509,-0.02366863905325444,0.00047563965084609455,-0.0029585798816568047,-4.318902621444328e-06,0.020710059171597628,-3.1852753763197555e-05,0.0029585798816568055,4.313088880119999e-05,-0.035502958579881665,-0.0004391765687675668,0.09763313609467456,0.0018922436630181671,-0.011834319526627219,-3.6635053365753146e-05,-0.05029585798816568,-0.002286094680760786,8.673617379884035e-19,-2.957007915027675e-21,0.002958579881656804,-1.5265192897307e-05,-0.002958579881656804,-8.843647985118821e-05,0.026627218934911247,0.002008264646020737,0.0029585798816568055,1.766779005786558e-05,-0.05325443786982249,-0.0032820516708649493,0.011834319526627217,-0.00016079375834434988,0.014792899408284023,-0.00015452087574835435,0.0,0.0,-0.01775147928994083,-0.0031753165589046015,-0.0059171597633136085,-6.110528876860176e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004562002304311023,0.0002774066616087825,-0.10203012907331097,-0.10175272241170219,0.0
2019-02-28,CMM_equal_weight,0.029421776196074542,0.029421776196074556,0.0037290755088881617,-0.30764321150533674,0.0035959998601780537,-1.7190818056075374,0.006573348289108824,1.6963531163354442,0.0019127297032292372,-0.3912872034438226,-0.0005876514567425803,0.5398074786920422,-0.0021104409900334626,0.4887584628507571,-0.001736565082469111,-0.30921766633211656,0.00106473388722139,0.008712154210492349,0.0,0.0,-0.07669616519174041,-0.001378437419720366,0.0,-0.0,0.014749262536873156,0.00040932166125360133,0.08259587020648967,0.001193845023435825,-0.008849557522123894,-0.000261868270649537,0.0029498525073746312,-2.7418088647922296e-05,0.0029498525073746312,0.00011932992847554158,-0.0058997050147492625,-0.00027236270432071997,0.0029498525073746312,3.143198074648141e-05,0.008849557522123894,-3.138410915087694e-05,-0.02064896755162242,-0.0006298963800137405,-0.032448377581120944,0.0007157271385898935,0.11209439528023599,-0.0001409809281857509,-0.008849557522123894,0.00022980461688444645,-0.017585466112523103,-0.0003318478826529417,0.02359882005899705,-1.1596842811518887e-05,0.0029498525073746312,2.48443277953513e-05,-0.008849557522123894,-0.00037111496082652405,0.011799410029498525,0.0010390652117144184,0.0029498525073746312,0.0001030738596866915,-0.035398230088495575,-0.00014548356077274493,0.0,-0.0,0.008849557522123894,-0.00046761501509055825,-0.0029498525073746312,0.0001767140405891503,-0.032448377581120944,0.0006121250618855307,0.011799410029498525,0.000469606479681108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010548831678948377,0.015925663308799194,0.01349611288727535,0.029421776196074542,1.3877787807814457e-17
2019-03-29,CMM_equal_weight,0.04105889210709829,0.041058892107098344,-0.008816539199137883,-0.39531067933291464,-0.005862460575776412,-1.424763174025943,0.024445268315819654,1.3566109668672155,0.006540967394847563,-0.37932834084848455,0.006292543539729154,0.3897305458041144,-0.0007501861846762331,0.44549775157464594,-0.001936309321627797,-0.20546657676184635,-0.00043638182377185125,0.028293441344544073,0.008875739644970414,-0.0005640114060428187,-0.04142011834319527,0.002217089580192077,0.02071005917159763,-0.0006011100551398109,0.02662721893491124,0.0016145898683995266,0.04437869822485206,-0.0005306692595333511,0.02366863905325444,0.00023148729078678647,0.0,-0.0,0.005917159763313609,-0.00044588330228225977,-0.011834319526627219,0.00035669032678690434,0.0,-0.0,0.014792899408284021,-0.0006850814663042216,-0.011834319526627219,0.0003048285616926918,-0.020476521191322452,0.0009864479149383448,0.10946745562130178,-0.0030930994445955142,0.0,-0.0,-0.0562130177514793,0.002368270743562977,0.04209329800948211,-0.001618148302573258,0.0,-0.0,8.673617379884035e-19,-1.8708909269540024e-20,-0.008828777438624551,0.000505374228535695,0.014792899408284021,-0.0005533081847495513,-0.056193996163635754,0.0018829819965114662,0.008875739644970414,0.00029147228060864106,0.008875739644970414,-0.0002331076695927647,0.0029585798816568047,8.577608818756814e-05,-0.04142011834319527,0.0011657986329696676,-0.011834319526627219,-0.0003363620715155422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033500263508432536,0.018231963610848844,0.022826928496249444,0.04105889210709829,5.551115123125783e-17
2019-04-30,CMM_equal_weight,0.047595858618974606,0.0475958586189746,0.0,-0.23883360519093727,-0.0012187837900759788,-1.4568912156959177,0.032918983053880524,0.9570466599645304,0.0075937377518635095,-0.5752532673848265,-0.004016159786617273,0.7146074373343931,-0.002485943707493123,0.7979583581526246,-0.001443747766404492,-0.1919241215691902,0.0021628665038751923,0.033510952259028365,0.01226178748574393,-0.0005793255991232456,-0.06201648912411885,0.0021046173463211857,0.024414407182235975,-0.00019249803950012123,-0.021285573052972923,-0.0014808917283715521,0.04128217737439309,-0.0006795430842765022,-0.030279498401010532,0.0009113205171408463,-0.006190494477049805,0.00018950595556958922,0.0021643922688317037,0.0001347494966494724,-0.006014663304762935,0.0001209259014609781,0.0020315357560549436,4.687762430673263e-06,0.011810856733884281,-1.5979612518554825e-05,0.007644579994707208,1.1001507640120886e-05,-0.01953381342966766,-0.002058200226710918,0.10294810037229689,-9.26635382685828e-05,-0.0014983871302801772,1.4277122308821214e-05,-0.044665381878352145,-0.0023319950365772346,0.03389027930665859,-0.00029879938673441417,-0.004954114285258099,0.00010310417562949583,0.006768313034120757,1.0801089602849661e-05,-0.009643231031628218,-0.0001556430102288236,0.018152264411224316,-0.00026581648338920176,-0.06618254803085252,-0.004267625674209532,0.013763810205284856,-5.511484064172796e-05,0.00696804812815846,5.18303631305615e-05,0.004081753998518251,0.00021009043632562764,-0.027715276438491504,-0.00016016394414938693,0.003923926133075315,7.718103166225045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008690167498827325,0.02277507385877357,0.02482078476020104,0.04759585861897461,-1.3877787807814457e-17
2019-05-31,CMM_equal_weight,0.04468895186997986,0.04468895186997985,0.00031878066694559793,-0.006577948256321957,-9.344370979724556e-05,-1.6714663484470305,0.03156248974804143,1.0519211538066846,0.0018013847925173133,-0.9739230718721341,-0.005361489163470929,0.7751319716026885,0.003532823791971393,0.8504864887318075,-0.001960020037674576,0.268475575472115,0.0007290297059139951,0.03021077512750138,0.008918422709781496,0.00034576541191012135,-0.021646598714932044,-0.0008095450607955107,0.017236902370139823,0.0009110221930675301,-0.04898954197928876,0.0012896672543762507,0.05022915089297955,0.0010684715084306774,-0.020935035250967068,-0.00045793911562241104,0.020700925346612546,0.0005217668400852553,-0.01787646353250632,-0.0001066476891364246,-0.011962723930852286,-0.00038891320158521055,0.032599935989161624,0.0006561585809741208,0.023632352948662876,0.00023655836778619543,0.041419974947526014,0.0005111062461683451,-0.09824098488884993,-0.004884999847593613,0.07702388905232678,0.002768015935351183,-0.0221794614938837,-1.1739375281960856e-05,-0.09835132662503113,-0.005542229164274001,0.008722602382100366,0.00014246944047769826,0.008844298505408816,8.697949905980465e-05,0.00885723141969368,0.00012705481361790846,-0.02292070684626489,-0.0011898876110593975,0.01776446062823187,0.0001967231079174672,-0.03395605906223291,-0.001777332765285416,0.00289109742138402,9.794108537658814e-05,0.005918957151355597,6.2487068293801925e-06,0.008896261082302038,-6.577926399685932e-05,0.044294188910714544,0.0019102947286665285,0.020711523374111918,0.0016215374225280073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027372319520077423,0.016896628027540612,0.027792323842439234,0.04468895186997984,6.938893903907228e-18
2019-06-28,CMM_equal_weight,0.052614193492241244,0.05261419349224125,-0.0018409712659330122,-0.03062375356175216,-0.0003982851094648614,-1.8436211554590551,0.03845928289928652,0.9045561147071528,0.0020215568152496307,-0.9386639375297756,0.008435591766711794,0.5757063619618072,0.0023906627417930957,0.6764361489116781,0.0020023413673833763,0.25256216388346187,-0.0004781876560307262,0.05243296282492883,0.011869436201780416,-0.00013706792985882638,-0.04154302670623145,0.00021752757414122566,0.0,-0.0,-0.011869436201780416,-0.0005003128993571258,0.04747774480712166,0.0014868239896496016,-0.005934718100890208,-5.130048815580474e-05,0.002967359050445104,-3.4224542827209936e-05,0.0,0.0,0.0,-0.0,0.01483679525222552,3.316791760764296e-05,0.026706231454005934,-0.00030265159697990396,0.05934718100890207,-0.001116339770417828,-0.06824925816023739,-0.0004753111329486086,0.0712166172106825,0.001089754694823437,-0.008902077151335312,-6.188240186590393e-05,-0.10094345779603858,-0.006582919785140334,0.05637982195845697,0.0004900281484724317,0.02077151335311573,-0.00027123841369827993,0.01483679525222552,-1.8938478897942678e-05,-0.047440585133987564,-0.0001982359871194712,0.02103796418046224,-3.788991237753607e-05,-0.08605341246290804,-0.00026565079222373673,0.008902077151335312,9.30096434915524e-06,0.008902077151335312,-0.00019331803205432954,0.02077151335311573,0.0003355527111445558,0.002967359050445104,5.3286228639569426e-05,-0.005934718100890208,0.00019213168659697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006339708248498251,0.008361910181743674,0.04425228331049757,0.052614193492241244,6.938893903907228e-18
2019-07-31,CMM_equal_weight,-0.019621811821959764,-0.019621811821959767,-0.00046562992650268394,-0.17097160869454422,-0.0011432688376901855,-1.5612581562840355,0.00692398510351814,0.9844891857690135,0.007216617149990408,-0.8433746402600004,-0.007131359082168345,0.48529824555976897,0.00038908858126998223,0.6125953467469498,0.0020964152765841227,0.1966938632779426,-0.000194015513632091,0.00815746267787203,0.0029585798816568047,3.4817200608049245e-05,-0.014792899408284026,-0.0007804847208715447,0.035502958579881644,0.00018776651995230505,-0.020710059171597635,-0.00038982520426450223,0.005917159763313608,1.054728003395986e-05,-0.020282750449375993,-0.0016734564353768188,0.011834319526627215,0.00037271125989818795,-0.011834319526627219,-0.001648600971875378,0.005917159763313609,0.00013592104023653294,0.017751479289940822,0.0002856806321685749,0.023668639053254427,0.0003035798841562005,0.05029585798816567,0.00010284268361433905,-0.029585798816568056,-0.002155722570220273,0.08284023668639051,0.0010002444002358648,-0.002958579881656809,-8.844856947863275e-05,-0.1627218934911242,-0.01295006225135973,0.02958579881656804,0.0008321222515994322,0.002958579881656804,0.00010342712908012633,0.011834319526627217,0.00044356134814968744,-0.020710059171597642,-0.0016225079446551924,0.017751479289940822,0.0003696051326398122,-0.06804733727810651,-0.0013286772480512882,0.014792899408284021,-4.545328019214086e-05,0.0029585798816568047,3.893809137841312e-06,0.005917159763313609,-0.0001532608202788792,0.02958579881656804,-0.0007353648540456805,0.002958579881656804,0.00012366286258395963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01926148143657519,-0.008052163136753911,-0.011569648685205844,-0.019621811821959753,-1.3877787807814457e-17
2019-08-30,CMM_equal_weight,0.047655681108769846,0.04765568110876984,-0.00043893936442403647,-0.20311337620343908,-0.0007929445751583278,-1.8059425263393756,0.020471961259639505,0.9207370418756466,-0.0008923386798767354,-0.8326593038846635,-0.000664740639259882,0.5542109511813968,0.004235933262580601,0.5654757273710772,0.0007048438268618759,0.13643656805025567,-4.0050279362842014e-05,0.023022664175424194,-0.0029498525073746312,7.223255541293409e-05,-0.047086341035710744,-7.988865690042609e-06,0.02654867256637168,0.000353047475305033,-0.02064896755162242,0.0006321514910922766,0.032448377581120944,0.0007380248082870506,0.011799410029498525,1.193256513307719e-05,-0.0058997050147492625,-2.9302126932594652e-05,-0.02654867256637168,0.0023425362284616737,-0.0058997050147492625,-0.00010628544216040627,0.02654867256637168,0.000795035070167345,0.017699115044247787,0.00020212831952613934,0.0471976401179941,0.0007353134697806629,-0.02654867256637168,0.00043051203936571243,0.07669616519174041,0.002377241519569287,-0.008849557522123894,-5.1938270600288857e-05,-0.1327433628318584,-0.005471721845335288,0.04424778761061947,0.0009040961415340208,-0.005857186366331767,-4.551824542232712e-05,0.008849557522123894,0.00024791069322920424,-0.06784660766961652,-0.002011549210124583,0.02359882005899705,0.000576685210099713,-0.04424778761061947,-0.0019407024432253261,0.029498525073746312,-0.00033299565271575416,0.0029498525073746312,1.794827896480943e-05,0.0029498525073746312,0.0001713348184961518,0.038348082595870206,0.0006901800319894955,0.008849557522123894,-2.7454621800028802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012728539924079477,0.02379910230536174,0.023856578803408107,0.047655681108769846,-6.938893903907228e-18
2019-09-30,CMM_equal_weight,0.026211148544279975,0.026211148544279975,0.00043523799760109585,-0.2101473424694483,-0.0010012148285641507,-1.71914314229691,0.009570589464908203,0.8557701764521803,0.0039049688796156724,-0.5403494123494479,0.001810166831929929,0.41141489063725434,-0.0017690696515319556,0.31328224043428293,0.0017295297288484612,0.13032642160642555,-0.00022326221131041283,0.014021708213895747,0.0,-0.0,-0.06792328676910893,-0.001167492660562833,0.014705882352941176,-0.00012766735618421681,0.020588235294117643,0.00041127783610144333,0.029411764705882335,-0.0007141059699322616,0.03823529411764705,-6.500165945259242e-05,-0.011764705882352941,0.0001984751674278263,-0.008823529411764706,0.0005816202901254111,0.008823529411764706,0.00011849963177938523,0.023529411764705882,-0.0002542423911260191,0.029411764705882353,-0.0007018758100638443,0.05,-0.00017910518119112573,0.0029411764705882353,-0.00017269960285889874,0.06470588235294115,-0.0022228465185491933,0.011764705882352941,-0.0002582684990667112,-0.1411764705882353,-0.00027147784021102023,0.026470588235294117,-0.0009650147671240502,-0.00871743969508514,0.00011575431857486801,0.0029411764705882353,-6.11418030071523e-05,-0.0978284794165963,-0.003051669769096015,0.023529411764705882,0.00012639514715079533,-0.05575089579082654,0.001454438809229423,0.026470588235294117,-0.0009736360392944332,-0.0029411764705882353,7.97425693016791e-05,0.0029411764705882353,9.207878658789506e-05,0.008823529411764706,-7.427584025330952e-05,0.014705882352941176,5.3615638296265685e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008076877587865326,0.01983107992064846,0.006380068623631517,0.02621114854427998,-3.469446951953614e-18
2019-10-31,CMM_equal_weight,0.01601780214318916,0.016017802143189167,-0.0014531011657492997,-0.25975574696711373,-0.0017067185815637148,-1.7049868930591272,0.010700347420282473,0.855803254434278,0.0009230691892722065,-0.44033258950981335,0.003967234582001962,0.4983596634570128,-0.0005911774663409769,0.5130527053386814,0.0006987773514517796,-0.024963461913258378,-3.203606517816302e-05,0.013959496429925567,-0.0029411764705882353,-0.00010175828964352932,-0.09117647058823529,-0.003484352377719826,0.020588235294117643,-4.872545245718545e-05,-0.047058823529411764,0.0005462315468174267,0.047159877241263984,0.0011514657435708576,0.0058823529411764705,3.177155709645141e-05,-0.0029411764705882353,-1.8550335982137216e-05,0.008823529411764706,0.0001627715077078148,0.011764705882352941,2.5832585521577715e-05,0.020588235294117647,0.0011023685120168881,0.026470588235294117,8.030580600258623e-05,0.008823529411764706,0.0001265175857390778,0.014705882352941176,0.00029195242592170085,0.11470588235294119,0.0015086064248104008,0.047058823529411764,0.0014990485047397238,-0.06418935228701242,-0.0040563754178181395,0.07352941176470586,0.0015618290323693267,-0.011381402853682127,1.2196877081050862e-05,-0.011764705882352941,-0.0001272837891491502,-0.13235294117647056,-0.0007320978850456245,-0.014705882352941176,-0.00032648522224689266,-0.011764705882352941,-2.903643613329208e-05,0.011764705882352941,0.00035968149142917165,0.0,0.0,0.0,-0.0,0.029411764705882335,-8.255567873590617e-06,-0.0058823529411764705,-1.1988792282872019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00048432996552818424,0.00399573684454108,0.012022065298648084,0.016017802143189163,3.469446951953614e-18
