fold,epoch,train_loss,val_loss
1,1,1.9909250537554424,1.8811889224582248
1,2,1.8946053357351393,1.8517953621016607
1,3,1.8595942798114957,1.8266777329974704
1,4,1.844533471834092,1.8260897133085463
1,5,1.8198475582259042,1.8135917716556125
1,6,1.7985741666385107,1.8033222489886813
1,7,1.8059991342680795,1.8591971000035603
1,8,1.808518920625959,1.8098206453853183
1,9,1.7766736121404738,1.790396359231737
1,10,1.7689255192166282,1.8024878634346857
1,11,1.7703235546747844,1.7940376136038039
1,12,1.771830448082515,1.794274177816179
1,13,1.7588405155000233,1.7989538510640461
1,14,1.7487739693550837,1.8276165790028043
1,15,1.747417464142754,1.7963372270266216
1,16,1.76594896259762,1.8170533378918965
1,17,1.7573234069915045,1.817384335729811
1,18,1.7525511100178672,1.812588353951772
1,19,1.7428883683113825,1.8019462360276117
1,20,1.7330745855967205,1.7973811361524794
1,21,1.7279003688267298,1.8161680433485243
2,1,1.9796149750887337,1.87468457698822
2,2,1.8830759080789856,1.8586254739761352
2,3,1.8477324671664481,1.8529339694976807
2,4,1.8240280474646617,1.8727634143829346
2,5,1.8104924206006325,1.8983562517166137
2,6,1.8117535477977689,1.87814049243927
2,7,1.8002587859913455,1.8392606830596925
2,8,1.7912769661111347,1.8602630805969238
2,9,1.7896062418565912,1.8555497884750367
2,10,1.785843075331995,1.835543475151062
2,11,1.7771854461249659,1.8672251462936402
2,12,1.763318116382017,1.8611588764190674
2,13,1.7711695796352322,1.8801371049880982
2,14,1.7606924651032787,1.852238130569458
2,15,1.7594686908237005,1.8467879581451416
2,16,1.7604179685398684,1.8722221422195435
2,17,1.7388689517974854,1.869902195930481
2,18,1.7449018591541354,1.8899448108673096
2,19,1.7482102563825703,1.8518562936782836
2,20,1.7485335742012929,1.8800823974609375
2,21,1.74013574446662,1.8405785942077637
2,22,1.7332142934960835,1.8677071952819824
3,1,1.94169441022371,1.886038538068533
3,2,1.873861308160581,1.871569287031889
3,3,1.8475801050662994,1.8787878453731537
3,4,1.825424346484636,1.8576648980379105
3,5,1.812457191316705,1.8746420331299305
3,6,1.8023026962029307,1.9207044914364815
3,7,1.7963630196295286,1.8628754392266273
3,8,1.7938692679530697,1.9139798544347286
3,9,1.7804454125856097,1.8711706660687923
3,10,1.7822653180674504,1.8560320734977722
3,11,1.7967132831874646,1.8794451877474785
3,12,1.7795378659900867,1.862051349133253
3,13,1.770307559716074,1.8694159388542175
3,14,1.770272965493955,1.8791385032236576
3,15,1.7586216565809751,1.9116659685969353
3,16,1.763163801870848,1.8857900463044643
3,17,1.7545080922151868,1.879888590425253
3,18,1.7468710118218471,1.8894639313220978
3,19,1.7557529650236432,1.873380284756422
3,20,1.7483416811416024,1.881637241691351
3,21,1.7398803955630253,1.9015314616262913
3,22,1.7431972387589907,1.8844525068998337
4,1,1.9532103653877013,1.9224744943472056
4,2,1.8827253554456977,1.8722533476658356
4,3,1.8710054107891616,1.857648797524281
4,4,1.84854410412491,1.8595460531039116
4,5,1.8396406289069884,1.8624475124554756
4,6,1.8315169580521122,1.8805669179329505
4,7,1.8279511544012255,1.8979240441933656
4,8,1.8097188011292489,1.8637876571753087
4,9,1.8128485641171854,1.8605797382501454
4,10,1.8057218674690492,1.8859710968457735
4,11,1.7997399273739065,1.879496993162693
4,12,1.795114859457939,1.8597547641167274
4,13,1.7937960009421072,1.878088205288618
4,14,1.7885733022484729,1.86366051588303
4,15,1.7872671004264586,1.8413562346727421
4,16,1.779438421290408,1.8618792906785622
4,17,1.7806286581100956,1.8892658704366438
4,18,1.7725936110301683,1.8679859607647626
4,19,1.76536262548098,1.8520341225159473
4,20,1.7765016376331288,1.840406066332108
4,21,1.7756601905310025,1.8806632726620405
4,22,1.7617656723145516,1.8669386123999572
4,23,1.7518912041059105,1.854517013598711
4,24,1.7593046362682054,1.8468257433328874
4,25,1.7581768151252501,1.8680330086977055
4,26,1.751488035725009,1.8684103825153449
4,27,1.7472602744256296,1.860311514292008
4,28,1.7388400928948515,1.8467529920431285
4,29,1.7387044673324914,1.8411566019058228
4,30,1.7391051861547655,1.8485957659207857
4,31,1.7413403962248115,1.840385418671828
4,32,1.7463608211086643,1.850909092487433
4,33,1.7317876482522616,1.866808506158682
4,34,1.7324845944681475,1.8519082558460724
4,35,1.7315686864237632,1.8653482932310839
4,36,1.7163967240241267,1.8629800570316803
4,37,1.7240006757038895,1.8530765955264752
4,38,1.7249114782579484,1.859929145910801
4,39,1.7214429378509521,1.8500987810966296
4,40,1.7187824082630936,1.859577952287136
4,41,1.7106043818176433,1.850594963782873
4,42,1.7049357903900968,1.8587246644191253
4,43,1.708400011062622,1.860609730084737
