fold,epoch,train_loss,val_loss
1,1,1.9976887561026073,1.8583433628082275
1,2,1.8779528453236534,1.8571431636810303
1,3,1.8249735009102594,1.8396148416731093
1,4,1.7989454581623985,1.8219343357616
1,5,1.7823106674920945,1.8358470532629225
1,6,1.7490442820957728,1.8103136287795172
1,7,1.7438373594056993,1.8344042168723211
1,8,1.7542924795831953,1.8237072626749675
1,9,1.718496947061448,1.8087511658668518
1,10,1.7042806375594366,1.810425341129303
1,11,1.708593717643193,1.8102290961477492
1,12,1.6930391845248995,1.8177050285869174
1,13,1.6855558071817671,1.819136295053694
1,14,1.6525841099875314,1.8463760217030842
1,15,1.6472487023898534,1.8157816727956135
1,16,1.6599848866462708,1.8388440873887804
1,17,1.6460740254038857,1.8530884053972032
1,18,1.6362372097514926,1.8582918577724032
1,19,1.6392435090882438,1.8375925289260016
1,20,1.6151858397892542,1.8382997314135234
1,21,1.6093104907444544,1.8483985265096028
2,1,1.9740879010345975,1.8550758695602416
2,2,1.8498967118182426,1.868748140335083
2,3,1.8108783536038155,1.8791481971740722
2,4,1.7862031217348777,1.8906536531448364
2,5,1.7748384354478222,1.9068560695648193
2,6,1.7737261582229098,1.889495882987976
2,7,1.7534793433496507,1.8676735734939576
2,8,1.7431690187777502,1.8726354598999024
2,9,1.739528257968062,1.8607671880722045
2,10,1.7365328922110088,1.8642537450790406
2,11,1.7224584130917566,1.8752688837051392
2,12,1.7056596824678325,1.8888962650299073
2,13,1.7038472062450345,1.9113350248336791
3,1,1.9398199461008374,1.8845730982720852
3,2,1.8485696503990574,1.8523080348968506
3,3,1.819399085484053,1.8248341716825962
3,4,1.8024017418685712,1.8270299509167671
3,5,1.7826824470570213,1.867912732064724
3,6,1.7766056452926837,1.8391933850944042
3,7,1.7669642646061747,1.8538966961205006
3,8,1.7639888336783962,1.83069571480155
3,9,1.752904004172275,1.829284157603979
3,10,1.7453725777174298,1.851219642907381
3,11,1.738179779366443,1.8568099178373814
3,12,1.7350912015689046,1.824822399765253
3,13,1.726977233823977,1.8383298367261887
3,14,1.7197428298623938,1.8433846533298492
3,15,1.7104832310425608,1.8573103472590446
3,16,1.7116006989228099,1.8275612816214561
3,17,1.708850041816109,1.8401387482881546
3,18,1.6884162880872424,1.8363775424659252
3,19,1.6855588320054506,1.8387658596038818
3,20,1.6744609930013354,1.8928256705403328
3,21,1.6747655554821617,1.850755002349615
3,22,1.6687446315037577,1.8428806215524673
3,23,1.6574972585627907,1.8615073338150978
3,24,1.6545457683111493,1.8661453053355217
4,1,1.9161972371480798,1.8775641490251591
4,2,1.8491709411785167,1.8591609062292638
4,3,1.8253816045740598,1.822264701892168
4,4,1.812848106507332,1.8234572593982403
4,5,1.7980514162330217,1.833231556109893
4,6,1.791812627546249,1.8130378600878594
4,7,1.7979985744722429,1.8200377042476947
4,8,1.7734296475687334,1.819380561510722
4,9,1.7721591059879591,1.8166776100794475
4,10,1.7641020231349493,1.8239515958688197
4,11,1.7610447419587003,1.83822112205701
4,12,1.7466919742604738,1.823959136620546
4,13,1.7567447013752435,1.8180784292710133
4,14,1.7465515598174064,1.837419433471484
4,15,1.7353415758379045,1.8244218153831286
4,16,1.7251933454185404,1.8258641713704817
4,17,1.7199186650655602,1.834450364112854
4,18,1.7161192868345527,1.8194759136591203
